id,first_name,last_name,email,gender,ip_address,example_decimal
75,Carlyn,Boutcher,cboutcher22@altervista.org,Female,128.189.165.2,0.22
76,Byron,Beckson,bbeckson23@ifeng.com,Male,83.105.253.152,-0.72
77,Maryjo,Thorrington,mthorrington24@mit.edu,Female,149.152.132.157,-1.9
78,Lutero,Endrighi,lendrighi25@ow.ly,Male,198.154.210.195,0.6
79,Jedd,Stampfer,jstampfer26@meetup.com,Male,159.63.131.89,1.91
80,Lilllie,Stodd,lstodd27@state.tx.us,Female,197.170.30.154,0.26
81,Nikki,Goad,ngoad28@wikipedia.org,Male,173.63.113.186,0.31
82,Fair,Lante,flante29@tmall.com,Male,130.165.108.219,-1.57
83,Paxton,Jobb,pjobb2a@typepad.com,Male,175.11.89.60,-0.75
84,Ingelbert,Berks,iberks2b@infoseek.co.jp,Male,20.107.159.236,-0.87
85,Dareen,Salling,dsalling2c@dot.gov,Female,79.18.109.47,-0.17
86,Lillian,Kidson,lkidson2d@time.com,Female,228.106.101.44,1.3
87,Crissie,Milius,cmilius2e@hugedomains.com,Female,171.0.64.104,1.24
88,Licha,Lowbridge,llowbridge2f@cnbc.com,Female,165.164.46.175,0.12
89,Karlotte,Woolveridge,kwoolveridge2g@google.de,Female,22.78.148.141,-0.8
90,Bathsheba,Meach,bmeach2h@51.la,Female,39.169.98.78,0.8
91,Marten,Eakins,meakins2i@slideshare.net,Male,123.253.29.6,-0.75
92,Pernell,McWhin,pmcwhin2j@nationalgeographic.com,Male,1.116.38.94,0.61
93,Travus,Schoenleiter,tschoenleiter2k@alibaba.com,Male,34.75.182.255,-0.73
94,Corby,Hawkridge,chawkridge2l@mlb.com,Male,130.183.183.169,1.07
95,Jamie,Bruyns,jbruyns2m@discovery.com,Male,238.154.66.193,-1.6
96,Jordain,Munns,jmunns2n@creativecommons.org,Female,44.24.219.175,-1.45
97,Flinn,Lecky,flecky2o@economist.com,Male,105.98.76.199,2.15
98,Tildy,McDill,tmcdill2p@diigo.com,Female,161.221.168.107,1.62
99,Pauline,Muddicliffe,pmuddicliffe2q@godaddy.com,Female,51.239.158.171,2.31
100,Bennie,Izkovitch,bizkovitch2r@themeforest.net,Male,89.36.223.132,0.09
101,Umeko,Stickells,ustickells2s@google.com.br,Female,132.172.70.34,-1.73
102,Norene,Gradly,ngradly2t@soup.io,Female,156.104.138.4,0.16
103,Fidela,Rangall,frangall2u@fc2.com,Female,190.16.164.82,1.4
104,Alexi,Pantry,apantry2v@squidoo.com,Female,90.122.92.194,-0.06
105,Brandais,Edgeley,bedgeley2w@zdnet.com,Female,97.197.184.173,0.02
106,Sunshine,Rioch,srioch2x@jugem.jp,Female,71.59.195.11,1.06
107,Leroy,Bernier,lbernier2y@booking.com,Male,231.213.255.149,-1.04
108,Tracie,De Morena,tdemorena2z@bloglines.com,Male,52.105.88.168,-0.01
109,Marylynne,Laming,mlaming30@mashable.com,Female,186.134.170.146,0.48
110,Natalya,Tite,ntite31@mysql.com,Female,217.115.235.205,1.19
111,Sam,Kenward,skenward32@goo.ne.jp,Female,113.95.222.111,0.79
112,Howie,Lauxmann,hlauxmann33@ning.com,Male,215.151.15.157,-0.69
113,Elyse,Linsley,elinsley34@dell.com,Female,225.162.149.210,-1.04
114,Errol,Mound,emound35@ca.gov,Male,97.137.202.239,-0.01
115,Fernande,Letrange,fletrange36@reference.com,Female,21.211.233.96,0.78
116,Cortie,Danielsohn,cdanielsohn37@so-net.ne.jp,Male,203.140.117.237,0.69
117,Stefano,Vail,svail38@smugmug.com,Male,105.101.203.78,1.09
118,Danice,Knowlys,dknowlys39@hp.com,Female,194.109.9.89,1.37
119,Holden,Farndon,hfarndon3a@imdb.com,Male,107.216.79.45,1.17
120,Jami,Shipp,jshipp3b@woothemes.com,Female,77.245.217.117,0.5
121,Gerrard,Maidens,gmaidens3c@ca.gov,Male,67.64.208.114,-0.83
122,Patton,Santer,psanter3d@canalblog.com,Male,103.130.7.183,1.11
123,Lin,Najafian,lnajafian3e@booking.com,Male,80.19.189.220,-1.91
124,Hewett,Spinola,hspinola3f@mac.com,Male,31.40.101.210,0.49
125,Sonja,Cecil,scecil3g@boston.com,Female,240.66.91.168,-1.28
126,Luella,Element,lelement3h@wordpress.org,Female,194.67.208.5,0.36
127,Lewie,Portingale,lportingale3i@1und1.de,Male,92.118.230.217,0.94
128,Emmey,Foy,efoy3j@bing.com,Female,138.106.49.16,-0.56
129,Allis,Longhurst,alonghurst3k@wunderground.com,Female,24.26.132.242,1.4
130,Abbye,Bucke,abucke3l@house.gov,Female,229.4.207.18,0.95
131,Etan,Sellman,esellman3m@feedburner.com,Male,118.119.4.105,-1.77
132,Sergeant,Legge,slegge3n@hatena.ne.jp,Male,27.10.130.142,-0.61
133,Flor,Mathely,fmathely3o@networkadvertising.org,Female,39.167.7.42,-0.32
134,Ladonna,Sushams,lsushams3p@vimeo.com,Female,156.242.215.249,0.08
135,Hannie,Henstridge,hhenstridge3q@google.com.hk,Female,70.152.11.45,-2.51
136,Lynea,Sibbe,lsibbe3r@cyberchimps.com,Female,28.245.64.119,0.67
137,Serena,Gresswood,sgresswood3s@people.com.cn,Female,128.155.223.111,-0.42
138,Lillis,Suttie,lsuttie3t@joomla.org,Female,97.26.146.143,-0.95
139,Carma,Thomel,cthomel3u@slideshare.net,Female,27.245.189.211,-0.99
140,Hi,Sorrel,hsorrel3v@mail.ru,Male,208.243.148.50,-0.07
141,Gerianna,MacMurray,gmacmurray3w@trellian.com,Female,29.95.166.2,0.39
142,Roxine,Syratt,rsyratt3x@list-manage.com,Female,131.230.91.213,0.38
143,Orton,Fellenor,ofellenor3y@exblog.jp,Male,251.138.197.151,-0.02
144,Maitilde,O'Crotty,mocrotty3z@boston.com,Female,111.35.197.237,1.51
145,Minta,Summerlee,msummerlee40@fema.gov,Female,0.146.31.225,0.37
146,Danila,Plaxton,dplaxton41@state.gov,Female,146.234.6.209,0.6
147,Merrielle,Manuely,mmanuely42@moonfruit.com,Female,92.98.221.255,-0.9
148,Melosa,Grushin,mgrushin43@liveinternet.ru,Female,28.33.135.78,0.79
149,Hyacinthie,Abley,habley44@cyberchimps.com,Female,168.182.169.125,-0.15
150,Frederico,Bennie,fbennie45@phoca.cz,Male,239.151.34.174,-1.07
151,Enid,Ros,eros46@twitter.com,Female,17.196.210.133,0.09
152,Der,Wraggs,dwraggs47@loc.gov,Male,33.212.211.114,-0.62
153,Katine,Crichten,kcrichten48@miibeian.gov.cn,Female,230.218.73.215,0.41
154,Colene,Hulk,chulk49@ted.com,Female,38.7.167.13,-0.89
155,Rosaline,McCrackem,rmccrackem4a@answers.com,Female,230.117.197.174,0.1
156,Iggy,Rowlin,irowlin4b@bandcamp.com,Male,186.122.93.110,-1.63
157,Leda,Ranyell,lranyell4c@e-recht24.de,Female,191.207.107.150,0.23
158,Rodd,Minshaw,rminshaw4d@studiopress.com,Male,192.66.161.178,0.09
159,Anya,Ingledow,aingledow4e@springer.com,Female,21.144.216.228,1.2
160,Melonie,Carlton,mcarlton4f@weibo.com,Female,0.125.252.115,0.83
161,Mikol,Trass,mtrass4g@wiley.com,Male,228.87.37.189,0.48
162,Ingrim,Davidovitz,idavidovitz4h@accuweather.com,Male,222.89.100.182,-0.32
163,Alikee,Georgins,ageorgins4i@usgs.gov,Female,82.223.238.0,0.25
164,Nertie,Gush,ngush4j@answers.com,Female,251.41.78.31,-0.43
165,Linet,Birtwhistle,lbirtwhistle4k@1688.com,Female,242.244.221.19,0.92
166,Marlon,Spieck,mspieck4l@google.nl,Male,87.159.187.128,0.91
167,Jervis,Du Plantier,jduplantier4m@1und1.de,Male,71.92.32.140,0.69
168,Manny,De Cruze,mdecruze4n@wiley.com,Male,69.210.34.9,0.89
169,Staci,Ansty,sansty4o@amazon.de,Female,222.254.162.66,0.05
170,Emlyn,Moggan,emoggan4p@instagram.com,Female,179.135.190.248,0.46
171,Crin,Rowden,crowden4q@nifty.com,Female,235.204.142.37,0.9
172,Immanuel,Storm,istorm4r@yelp.com,Male,211.148.35.80,0.01
173,Michaela,Dewire,mdewire4s@digg.com,Female,70.173.123.112,0.85
174,Davine,Diggell,ddiggell4t@engadget.com,Female,62.207.138.213,0.65
175,Nettie,Millimoe,nmillimoe4u@auda.org.au,Female,142.101.17.150,0.1
176,Ida,Lawford,ilawford4v@scribd.com,Female,71.45.162.129,-0.94
177,Douglass,Shoebrook,dshoebrook4w@google.de,Male,143.28.166.23,0.68
178,Annice,Bettaney,abettaney4x@ted.com,Female,147.192.239.30,1.4
179,Suzanna,Cator,scator4y@pagesperso-orange.fr,Female,188.183.43.216,0.39
180,Jard,Jaskiewicz,jjaskiewicz4z@oakley.com,Male,211.85.230.230,1.21
181,Bria,Eannetta,beannetta50@bing.com,Female,93.133.80.169,0.83
182,Isacco,Reef,ireef51@salon.com,Male,100.57.40.72,-0.28
183,Geri,Senn,gsenn52@stanford.edu,Male,118.99.205.26,-0.58
184,Thomasine,Andreacci,tandreacci53@amazon.com,Female,72.133.226.97,0.49
185,Waly,Clarage,wclarage54@xing.com,Female,146.174.151.121,-0.15
186,Jordon,Cullrford,jcullrford55@google.de,Male,202.178.252.131,-0.06
187,Luca,Riddell,lriddell56@foxnews.com,Male,250.140.61.9,-1.1
188,Koren,Guichard,kguichard57@adobe.com,Female,54.10.235.242,-0.1
189,Amelina,Jackson,ajackson58@who.int,Female,167.23.12.242,1.11
190,Jobi,Decayette,jdecayette59@biblegateway.com,Female,165.103.97.23,0.24
191,Lauree,Naisbit,lnaisbit5a@blogtalkradio.com,Female,222.213.92.192,-0.15
192,Marlon,Lockner,mlockner5b@printfriendly.com,Male,231.94.125.199,1.14
193,Ulick,Slamaker,uslamaker5c@slate.com,Male,248.79.2.213,0.09
194,Chevalier,MacKeller,cmackeller5d@ezinearticles.com,Male,217.245.48.78,-0.1
195,Clary,Watman,cwatman5e@youku.com,Female,121.95.77.195,-0.36
196,Terri-jo,Domeny,tdomeny5f@tripod.com,Female,30.196.45.148,-0.5
197,Jackie,Batterson,jbatterson5g@wordpress.org,Female,188.155.217.141,-0.04
198,Eve,Tourle,etourle5h@whitehouse.gov,Female,24.136.152.145,-0.36
199,Vyky,Warn,vwarn5i@mapy.cz,Female,151.51.234.189,0.73
200,Clemmie,Jendrach,cjendrach5j@webmd.com,Female,171.17.227.205,0.38
201,Faulkner,Deerness,fdeerness5k@zimbio.com,Male,229.165.105.242,0.56
202,Montgomery,Durn,mdurn5l@go.com,Male,101.188.185.38,0.99
203,Herby,Gershom,hgershom5m@hibu.com,Male,252.136.3.178,0.84
204,Romola,Clowley,rclowley5n@gnu.org,Female,72.109.61.165,0.45
205,Christel,Millin,cmillin5o@com.com,Female,198.195.149.132,0.44
206,Rockie,Wilsey,rwilsey5p@ted.com,Male,192.155.2.19,-0.97
207,Algernon,Donativo,adonativo5q@stumbleupon.com,Male,163.91.69.177,-1.13
208,Jameson,Dixsee,jdixsee5r@bluehost.com,Male,219.247.58.218,-1.08
209,Glory,Dorrance,gdorrance5s@nationalgeographic.com,Female,119.62.160.28,1.61
210,Felipa,Fidock,ffidock5t@sciencedirect.com,Female,64.209.16.3,0.4
211,Daryl,Hallitt,dhallitt5u@ed.gov,Female,200.4.199.81,0.62
212,Theo,Jesty,tjesty5v@marriott.com,Male,141.64.106.179,1.74
213,Silvain,Hess,shess5w@alibaba.com,Male,33.122.34.91,-0.11
214,Merrilee,Gostyke,mgostyke5x@webnode.com,Female,187.74.90.249,-1.24
215,Salmon,Sprackling,ssprackling5y@state.gov,Male,103.232.50.222,0.13
216,Heath,Sammons,hsammons5z@buzzfeed.com,Male,112.165.214.117,1.63
217,Marijn,Alldred,malldred60@wordpress.com,Male,165.255.17.234,-0.31
218,Ryon,Wixon,rwixon61@flavors.me,Male,3.241.21.141,-0.35
219,Katharyn,Perotti,kperotti62@google.nl,Female,119.165.150.140,-1.08
220,Sampson,Oddboy,soddboy63@unicef.org,Male,246.40.186.151,0.7
221,Berna,Joddins,bjoddins64@shareasale.com,Female,62.94.69.64,-1.0
222,Sibylla,Rickerd,srickerd65@cafepress.com,Female,238.242.95.180,1.15
223,Tiler,Epinoy,tepinoy66@ameblo.jp,Male,9.152.13.156,0.99
224,Dick,McWhinnie,dmcwhinnie67@independent.co.uk,Male,207.46.186.175,-2.38
225,Daveta,Jordin,djordin68@salon.com,Female,40.167.221.144,0.05
226,Goddard,McDougall,gmcdougall69@businessinsider.com,Male,61.122.182.168,0.05
227,Ganny,Craydon,gcraydon6a@vinaora.com,Male,189.217.35.138,0.23
228,Lory,O'Sharry,losharry6b@seesaa.net,Female,215.74.216.132,1.58
229,Florie,Banyard,fbanyard6c@smugmug.com,Female,14.8.225.220,-0.31
230,Valle,Cluett,vcluett6d@delicious.com,Male,116.137.63.207,-0.34
231,Alexine,Aicken,aaicken6e@liveinternet.ru,Female,166.204.103.215,-1.14
232,Brock,De Blasio,bdeblasio6f@dell.com,Male,60.24.249.245,0.25
233,Harcourt,Judgkins,hjudgkins6g@globo.com,Male,74.173.234.190,0.51
234,Ky,Boxhill,kboxhill6h@psu.edu,Male,125.136.48.172,-0.71
235,Stefano,Fold,sfold6i@ft.com,Male,219.191.232.147,-0.35
236,Adda,Zupa,azupa6j@opera.com,Female,70.98.218.78,0.17
237,Chan,Pawlata,cpawlata6k@sfgate.com,Male,223.157.58.61,-0.61
238,Stormie,Wyrall,swyrall6l@harvard.edu,Female,242.247.56.77,0.37
239,Correna,Alleburton,calleburton6m@va.gov,Female,121.231.81.122,0.8
240,Dorie,Whitehouse,dwhitehouse6n@elegantthemes.com,Male,205.169.246.13,-2.39
241,Ade,Cammacke,acammacke6o@surveymonkey.com,Male,62.187.31.122,-0.16
242,Obidiah,Squier,osquier6p@1und1.de,Male,183.59.1.234,-0.42
243,Matt,Grzegorzewicz,mgrzegorzewicz6q@storify.com,Male,238.171.207.9,-1.79
244,Thorndike,Tooth,ttooth6r@msu.edu,Male,32.181.255.103,-0.85
245,Waldo,Cranstone,wcranstone6s@webeden.co.uk,Male,243.65.225.23,2.1
246,Lonny,Iacomelli,liacomelli6t@ezinearticles.com,Male,34.168.30.53,0.28
247,Derry,Kirsz,dkirsz6u@vimeo.com,Male,176.151.204.106,-1.23
248,Darrell,Boatright,dboatright6v@bbc.co.uk,Male,174.177.120.72,-1.47
249,Vitia,Bletsoe,vbletsoe6w@i2i.jp,Female,118.137.88.143,1.31
250,Alfons,Hanlin,ahanlin6x@paypal.com,Male,130.1.80.129,-1.27
251,Nissy,Killiam,nkilliam6y@blogtalkradio.com,Female,42.219.3.155,-0.88
252,Paten,Kilbride,pkilbride6z@oaic.gov.au,Male,225.160.182.153,-0.86
253,Avery,Paffot,apaffot70@bing.com,Male,186.176.112.126,1.82
254,Binnie,Comini,bcomini71@fc2.com,Female,152.167.175.42,-0.42
255,Juliette,Lopez,jlopez72@opensource.org,Female,192.156.110.236,0.92
256,Reese,Brimilcombe,rbrimilcombe73@umn.edu,Male,166.206.194.49,-0.06
257,Erinna,Coyish,ecoyish74@shutterfly.com,Female,77.104.228.53,0.07
258,Giselle,Wasbrough,gwasbrough75@list-manage.com,Female,0.97.74.111,-0.83
259,Pebrook,Milillo,pmilillo76@nytimes.com,Male,127.136.29.103,-0.02
260,Chanda,Shills,cshills77@technorati.com,Female,251.13.12.2,0.69
261,Roy,Lowten,rlowten78@yolasite.com,Male,159.180.1.208,1.57
262,Phelia,Whannel,pwhannel79@ocn.ne.jp,Female,46.162.129.10,0.02
263,Roddie,Burlay,rburlay7a@nsw.gov.au,Male,115.64.209.99,-0.24
264,Almire,Barwell,abarwell7b@tiny.cc,Female,70.56.21.79,-0.33
265,Rachel,Batstone,rbatstone7c@ycombinator.com,Female,178.165.186.213,1.34
266,Broddie,Daly,bdaly7d@feedburner.com,Male,141.195.26.45,-0.2
267,Eliza,Shier,eshier7e@harvard.edu,Female,106.120.217.247,-0.75
268,Abner,Stanning,astanning7f@ed.gov,Male,46.17.137.145,-2.78
269,Jereme,Dampier,jdampier7g@state.gov,Male,139.183.246.199,-0.3
270,Abbey,Jarvis,ajarvis7h@phpbb.com,Male,60.61.85.96,1.98
271,Orren,Largen,olargen7i@purevolume.com,Male,141.60.177.239,1.87
272,Gale,Vogeler,gvogeler7j@springer.com,Male,239.245.31.147,1.13
273,Truda,Bedbrough,tbedbrough7k@admin.ch,Female,44.41.225.83,-0.49
274,Blakeley,O'Fielly,bofielly7l@nationalgeographic.com,Female,188.68.253.225,0.82
275,Casandra,Divis,cdivis7m@omniture.com,Female,88.137.80.149,0.32
276,Tamarra,Mickelwright,tmickelwright7n@mapy.cz,Female,201.37.254.92,3.19
277,Horton,Bench,hbench7o@hibu.com,Male,55.150.124.45,-0.17
278,Tiphanie,Christian,tchristian7p@time.com,Female,51.108.240.53,-0.11
279,Rudyard,Threadgill,rthreadgill7q@surveymonkey.com,Male,9.59.4.84,-2.3
280,Fairleigh,Arias,farias7r@quantcast.com,Male,156.197.74.237,0.66
281,Flemming,Aherne,faherne7s@nyu.edu,Male,1.76.7.58,-1.16
282,Gavin,Recher,grecher7t@nationalgeographic.com,Male,94.216.212.4,-0.2
283,Archibald,Stenner,astenner7u@1und1.de,Male,116.181.179.206,0.55
284,Viola,Tweedie,vtweedie7v@alexa.com,Female,59.95.187.104,-0.15
285,Anya,Trainor,atrainor7w@boston.com,Female,248.14.143.121,0.41
286,Olwen,Dominec,odominec7x@microsoft.com,Female,229.95.140.179,-0.4
287,Arlinda,Enright,aenright7y@walmart.com,Female,253.216.14.28,0.29
288,Earlie,Maylott,emaylott7z@guardian.co.uk,Male,229.162.103.116,-1.63
289,Emogene,Romeril,eromeril80@soup.io,Female,63.114.207.98,-0.2
290,Dietrich,Lingfoot,dlingfoot81@sphinn.com,Male,21.158.153.188,-1.03
291,Goraud,Norton,gnorton82@army.mil,Male,55.92.137.180,0.92
292,Jerad,Hayter,jhayter83@qq.com,Male,83.149.150.2,-0.04
293,Georgette,Barnsdall,gbarnsdall84@amazon.com,Female,4.134.179.74,-0.93
294,Naomi,Langmead,nlangmead85@google.nl,Female,205.228.212.86,-1.31
295,Arlen,Klulisek,aklulisek86@google.pl,Male,175.125.147.88,1.35
296,Inigo,Swadlinge,iswadlinge87@moonfruit.com,Male,211.177.240.98,-1.61
297,Bethanne,Fairfoul,bfairfoul88@furl.net,Female,153.40.32.191,1.13
298,Goldia,Woolford,gwoolford89@netscape.com,Female,169.159.241.250,1.39
299,Renaud,Llewhellin,rllewhellin8a@hubpages.com,Male,121.134.231.154,-0.05
300,Leia,Strowan,lstrowan8b@artisteer.com,Female,175.80.0.248,-2.26
301,Roobbie,Trevillion,rtrevillion8c@fda.gov,Female,164.20.26.106,0.57
302,Wandie,Graysmark,wgraysmark8d@surveymonkey.com,Female,68.174.172.92,-1.17
303,Elston,Habbergham,ehabbergham8e@smugmug.com,Male,26.157.9.59,0.31
304,Devan,MacAirt,dmacairt8f@sakura.ne.jp,Female,128.216.129.180,0.93
305,Lynn,Girvan,lgirvan8g@google.com.br,Male,146.3.172.203,-0.98
306,Merilee,Tomczykowski,mtomczykowski8h@engadget.com,Female,161.199.230.45,0.69
307,Anders,Casserley,acasserley8i@skyrock.com,Male,88.111.38.19,0.04
308,Locke,Palleske,lpalleske8j@sogou.com,Male,198.51.123.252,-1.96
309,Cosmo,Cassey,ccassey8k@tuttocitta.it,Male,76.46.116.198,-0.72
310,Viole,Ungerecht,vungerecht8l@blogs.com,Female,24.5.77.163,-0.9
311,Leigha,Mascall,lmascall8m@slideshare.net,Female,180.122.39.45,0.88
312,Enrika,Tolson,etolson8n@histats.com,Female,31.181.7.208,0.75
313,Kalle,Risom,krisom8o@cbslocal.com,Male,232.29.83.232,0.31
314,Rorke,Larimer,rlarimer8p@home.pl,Male,110.153.178.58,0.25
315,Aeriell,Aloigi,aaloigi8q@purevolume.com,Female,8.59.172.137,0.09
316,Damita,Anwyl,danwyl8r@hugedomains.com,Female,1.46.213.23,2.0
317,Haskel,Danielovitch,hdanielovitch8s@accuweather.com,Male,182.144.213.7,-0.11
318,Jan,Seivwright,jseivwright8t@bizjournals.com,Female,250.164.192.214,0.21
319,Gilligan,Isgate,gisgate8u@nifty.com,Female,75.11.241.123,0.55
320,Blayne,MacRedmond,bmacredmond8v@ucsd.edu,Male,175.134.104.143,-0.02
321,Lockwood,Frensch,lfrensch8w@blog.com,Male,126.82.123.103,1.0
322,Louis,Conachie,lconachie8x@ucla.edu,Male,228.61.109.117,-0.17
323,Bertie,Mundall,bmundall8y@sogou.com,Male,222.140.53.207,-0.91
324,Eben,Yanukhin,eyanukhin8z@usnews.com,Male,57.217.26.93,0.7
325,Keane,Corradi,kcorradi90@microsoft.com,Male,201.17.22.64,0.54
326,Karrah,Nassi,knassi91@facebook.com,Female,30.102.183.29,0.48
327,Aprilette,Tristram,atristram92@ted.com,Female,0.161.26.238,-1.41
328,Gregg,Runsey,grunsey93@springer.com,Male,44.113.213.58,0.2
329,Kaila,Ashmole,kashmole94@ebay.com,Female,162.160.106.17,-0.8
330,Rupert,Balle,rballe95@hugedomains.com,Male,235.184.62.79,0.54
331,Emmit,Letson,eletson96@goo.gl,Male,42.237.63.189,-0.22
332,Ulberto,Clewes,uclewes97@4shared.com,Male,183.90.191.95,-0.04
333,Yule,Barribal,ybarribal98@auda.org.au,Male,208.147.127.177,-0.26
334,Brant,Infantino,binfantino99@bandcamp.com,Male,162.168.207.88,-1.01
335,Eldon,Perham,eperham9a@discovery.com,Male,221.114.144.251,-0.87
